Time,Channel A
0,0
0,0
0,0.3769377
0.001,0.4241511
0.002,0.4241511
0.003,0.4241511
0.004,0.4241511
0.005,0.4241511
0.006,0.4241511
0.007,0.4241511
0.008,0.4241511
0.009,0.4241511
0.01,0.4241511
0.011,0.4241511
0.012,0.4241511
0.013,0.4241511
0.014,0.4241511
0.015,0.4241511
0.016,0.4241511
0.017,0.4241511
0.018,0.4241511
0.019,0.4241511
0.02,0.4241511
0.021,0.4241511
0.022,0.4241511
0.023,0.4241511
0.024,0.4241511
0.025,0.4241511
0.026,0.4241511
0.027,0.4241511
0.028,0.4712106
0.029,0.4241511
0.03,0.4241511
0.031,0.4241511
0.032,0.4241511
0.033,0.4241511
0.034,0.4241511
0.035,0.4241511
0.036,0.4241511
0.037,0.4241511
0.038,0.4241511
0.039,0.4241511
0.04,0.4241511
0.041,0.4241511
0.042,0.4241511
0.043,0.4241511
0.044,0.4241511
0.045,0.4241511
0.046,0.4241511
0.047,0.4241511
0.048,0.4241511
0.049,0.4241511
0.05,0.4241511
0.051,0.4241511
0.052,0.4241511
0.053,0.4241511
0.054,0.4241511
0.055,0.4241511
0.056,0.4241511
0.057,0.4241511
0.058,0.4241511
0.059,0.4241511
0.06,0.4241511
0.061,0.4241511
0.062,0.4241511
0.063,0.4241511
0.064,0.4241511
0.065,0.4241511
0.066,0.4241511
0.067,0.4241511
0.068,0.4241511
0.069,0.4241511
0.07,0.4241511
0.071,0.4241511
0.072,0.4241511
0.07299999,0.4241511
0.07399999,0.4241511
0.07499999,0.4241511
0.07599999,0.4241511
0.07699999,0.4241511
0.07799999,0.4241511
0.07899999,0.4241511
0.07999999,0.4241511
0.08099999,0.4241511
0.08199999,0.4241511
0.08299999,0.4241511
0.08399999,0.4241511
0.08499999,0.4241511
0.08599999,0.4241511
0.08699999,0.4241511
0.08799999,0.4241511
0.08899999,0.4241511
0.08999999,0.4241511
0.09099999,0.4241511
0.09199999,0.4241511
0.09299999,0.4241511
0.09399999,0.4241511
0.09499999,0.4241511
0.09599999,0.4241511
0.09699999,0.4241511
0.09799999,0.4241511
0.09899999,0.4241511
0.09999999,0.4241511
0.10099999,0.4241511
0.10199999,0.4241511
0.10299999,0.4241511
0.10399999,0.4241511
0.10499999,0.4241511
0.10599999,0.4241511
0.10699999,0.4241511
0.10799999,0.4241511
0.10899999,0.4241511
0.10999999,0.4241511
0.11099999,0.4241511
0.11199999,0.4241511
0.11299999,0.4241511
0.11399999,0.4241511
0.11499999,0.4241511
0.11599999,0.4241511
0.11699999,0.4241511
0.11799999,0.4241511
0.11899999,0.4241511
0.11999999,0.4241511
0.12099999,0.4241511
0.12199999,0.4241511
0.12299999,0.4241511
